,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity_normalized,diameter,contrast_normalized
2135,1.02469507659596,0.0925608201033492,37.2155881318568,33.8378486313773,39.2045915678253,33.8378486313773,5,5.0,0.0814331221011381,8.42230167972194,0.53036202729611
2786,1.7799133830810903,0.039239757650150094,87.74597844428891,78.3542341237598,88.4933689706528,77.5913370815335,6,6.0,0.0654341828028326,7.31209368552353,0.497377762035805
1188,2.30791146136937,0.0810540400097305,59.4725001847007,55.7756169638285,68.9447522293311,50.5686951945004,9,9.0,0.132065967849696,9.936178852489359,0.418584482563129
2986,1.59340056662695,0.0335959222101724,61.00794871563561,62.59761857610889,68.609717799989,61.00794871563561,5,5.0,0.0626869367926868,9.36482038989857,0.216172775560003
2041,3.01902053380464,0.113226776357628,62.817195098157704,63.6365630801114,67.56773148510321,57.4891294072192,9,9.0,0.106562144286655,8.14079960095703,0.400546145831752
2458,6.3592744020926,0.089539735605887,54.67871260737579,92.8751456406394,92.8751456406394,49.9879077104677,10,10.0,0.10920642005654,7.63286844965901,0.72122965772601
111,2.14095431802497,0.0296526362136209,63.3730759336882,69.57066100107299,69.57066100107299,63.3730759336882,7,7.0,0.0372387448821438,9.28421765920386,0.370289841601428
431,2.03416586823903,0.0945697434186478,51.099912894623394,63.5520095822001,63.5520095822001,51.099912894623394,5,6.0,0.103853923997568,9.82205801281132,0.204034840809808
851,1.19691059690534,0.0294411933318061,50.1634861651973,46.3629247077254,50.2991577505687,46.3629247077254,5,5.0,0.0719628756821367,8.18468391449903,0.105568234911572
1353,2.97098995307164,0.0641977521407387,88.38229644316071,65.8609881969349,88.38229644316071,58.669254174386396,10,10.0,0.136775703866994,8.40886564962403,0.496427944895069
582,2.96832677063483,0.0999101582464466,53.7109326652856,47.459197187739896,54.289094984254,47.459197187739896,7,7.0,0.103866383396639,10.705518236484501,0.274575673420139
108,2.77979913849931,0.0279011547335895,77.17412288214099,88.4816365128946,88.4816365128946,76.3239935783757,7,7.0,0.0734752080726393,7.96912156785129,0.546049327418085
1795,3.53702484223971,0.0879716981239873,66.5540280630443,54.5743310669878,66.5540280630443,54.5743310669878,8,8.0,0.196561315262534,8.40183056717429,0.785929916837895
